STT,Ma so thue,Ten cong ty,Ngay cuoi,Note,,,,,,
1315,0317146939,CÔNG TY TNHH XNK VÀ GIA CÔNG MAY MẶC HẠNH DUYÊN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1316,0317122166,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ẨM THỰC THẰNG BỜM,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1317,0315389485,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1318,0317117568,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ CƠ KHÍ MÁY MÓC UY VŨ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1319,0317121363,CÔNG TY TNHH DỊCH VỤ TIN HỌC VĂN PHÒNG DIỆU HẰNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1320,0317147587,CÔNG TY TNHH TMDV NHÀ HÀNG KHÁCH SẠN HẠ SANG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1321,0317197267,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1322,0317199426,CÔNG TY TNHH CHẾ BIẾN LƯƠNG THỰC THỰC PHẨM HOÀNG HIẾU,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1323,0317147530,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1324,0317125262,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1325,0317148492,CÔNG TY TNHH TMDV NHÀ HÀNG KHÁCH SẠN ĐỨC TÀI,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1326,0317120666,CÔNG TY TNHH CÔNG NGHỆ DỆT MAY NGỌC MINH KHUÊ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1327,0317148460,CÔNG TY TNHH THU GOM PHẾ LIỆU VÀ KINH DOANH SẮT THÉP ANH TUẤN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1328,0317122198,CÔNG TY TNHH DỊCH VỤ ẨM THỰC YẾN LINH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1329,0317118184,CÔNG TY TNHH THIẾT BỊ ĐIỆN VÀ CHIẾU SÁNG AN HẠ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1330,0317121719,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT BỊ ĐIỆN THIỆN NHÂN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1331,0317125287,0,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1332,0317121589,CÔNG TY TNHH THIẾT BỊ PCCC VÀ BẢO HỘ LAO ĐỘNG NGỌC ÁNH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1333,0317122286,CÔNG TY TNHH SẢN XUẤT NHỰA GIA DỤNG VÀ NHỰA CÔNG NGHIỆP ĐẠI THỦY,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1334,0317123226,CÔNG TY TNHH SẢN XUẤT VẢI SỢI VÀ PHỤ LIỆU NGHÀNH MAY TAM HÀ,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1335,0317122367,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI MÁY MÓC THIẾT BỊ TRƯỜNG PHÚC,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1336,0317122938,CÔNG TY TNHH NHÀ HÀNG ẨM THỰC MÓN NHẬT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1337,0317122342,CÔNG TY TNHH KINH DOANH SẮT THÉP VÀ THU GOM PHẾ LIỆU MINH TRIẾT,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1338,0317030324,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI CHẤN PHONG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1339,0317031222,CÔNG TY TNHH VẬN TẢI VÀ CƠ GIỚI QUỐC BẢO,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1340,0317122952,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC HỒNG VÂN,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1341,0317118191,CÔNG TY TNHH XNK VÀ KINH DOANH NHIÊN LIỆU NIPPON OIL,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1342,0317118240,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ IN ẤN QUẢNG CÁO KIM DƯƠNG,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1343,0317117053,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI HÓA CHẤT ĐAN QUỲNH,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1344,0309738723,CÔNG TY TNHH VẬT TƯ Y TẾ MIỀN NAM,,"Ng Minh Tú mua 177 cty để phát hành bán trái phép HĐ,2408/CQDT,CA Phú Thọ",,,,,,
1345,0312810241,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG TRANG TRÍ NỘI THẤT TUẤN LỘC PHÁT,,"Thông báo số 10375/TB-CCTKVQ7NB ngày 17/12/2021 v/v NNT không hoạt động tại địa chỉ đã đăng ký (đã khóa lần đầu ngày 17/12/2021),1396/ANDT,Bộ CA",,,,,,
1346,0313025323,CÔNG TY TNHH THIẾT BỊ KỸ THUẬT ĐIỆN TÂN THIÊN HÒA,,"CV 1396/ANDT, Bộ CA",,,,,,
1347,0315210995,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ YES,,"CV 1396/ANDT, Bộ CA",,,,,,
1348,0315788049,CÔNG TY TNHH THƯƠNG MẠI VĂN PHÒNG PHẨM NEWSTART,,"Thông báo số 7791/TB-CCTKVQ7NB Ngày 09/6/2022 NNT ko hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1349,0312057548,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT VẠN GIA KHÁNH,,"Thông báo số 7896/TB-CCTKVQ7NB Ngày 09/6/2022 NNT ko hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1350,0316329432,CÔNG TY TNHH DV VẬN TẢI PHÁT TRIỂN MIỀN NAM,,"CV 1396/ANDT, Bộ CA",,,,,,
1351,0314104225,CTY TNHH CLEVER DECOR,,"Thông báo số 7890/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1352,0316327234,CÔNG TY TNHH TM & DV VẬN TẢI BẮC NAM VN,,"Thông báo số 7892/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1353,0313274898,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ XÂY DỰNG NGUYỄN THẮNG,,"CV 1396/ANDT, Bộ CA",,,,,,
1354,0316563150,CÔNG TY TNHH THIẾT BỊ KỸ THUẬT ĐIỆN CÔNG NGHỆ MỚI,,"Thông báo số 7887/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1355,0311700727,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ DU LỊCH ĐẠI PHÁT,,"Thông báo số 7885/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1356,0315099345,CÔNG TY TNHH TMDV THỰC PHẨM BÌNH ĐIỀN,,"Thông báo số 7895/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1357,0315700196,CÔNG TY TNHH NHÀ HÀNG ẨM THỰC LÀNG CHÀI,,"CV 1396/ANDT, Bộ CA",,,,,,
1358,0315103714,"CÔNG TY TNHH HẢI SẢN SẠCH LÊ MẪN (TÊN MỚI CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VN"" ĐỔI NGÀY 23/04/2022  )",,"CV 1396/ANDT, Bộ CA",,,,,,
1359,0314494649,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NAM ĐẠI VIỆT,,"CV 1396/ANDT, Bộ CA",,,,,,
1360,0315333387,CÔNG TY TNHH THƯƠNG MẠI GỖ VÀ TRANG TRÍ NỘI THẤT ÁNH DƯƠNG,,"CV 1396/ANDT, Bộ CA",,,,,,
1361,0316329513,CÔNG TY TNHH SX TM THỰC PHẨM BẢO TRUYỀN,,"CV 1396/ANDT, Bộ CA",,,,,,
1362,0316518888,CÔNG TY TNHH THƯƠNG MẠI TRUYỀN THÔNG QUẢNG CÁO SUNSHINE ( TÊN MỚI CÔNG TY TNHH ĐẦU TƯ ÁNH DƯƠNG GROUP 12/09/2021),,"CV 1396/ANDT, Bộ CA",,,,,,
1363,0316538789,CÔNG TY TNHH THƯƠNG MẠI MAY MẶC HUYỀN VY,,"Thông báo số 7886/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1364,0314046742,CÔNG TY TNHH DIỆP KIM CHÂU,,"CV 1396/ANDT, Bộ CA",,,,,,
1365,0313218244,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG DỊCH VỤ BẤT ĐỘNG SẢN ĐỖ DŨNG,,"Không hoạt động tại địa chỉ theo TB số 5166/TB-CCT ngày 28/8/2020 HĐ 01-5000,1396/ANDT,Bộ CA",,,,,,
1366,0315304121,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG ĐÔNG THẠO,,"Thông báo số 7884/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1367,0315002699,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CƠ KHÍ MÁY MÓC PHÚC VĨNH HẰNG,,"Thông báo số 9379/TB-CCTKVQ7NB ngày 29/6/2022 về việc NNT không hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1368,0312447851,CÔNG TY TNHH DƯƠNG MẠNH LONG,,"CV 1396/ANDT, Bộ CA",,,,,,
1369,0314668542,CÔNG TY TNHH TRANG TRÍ THƯƠNG MẠI XUẤT NHẬP KHẨU VN BUILD,,"Thông báo số 9381/TB-CCTKVQ7NB ngày 29/6/2022 về việc NNT không hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1370,0314860341,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐỨC MINH PHÚC,,"Thông báo số 7790/TB-CCTKVQ7NB Ngày 09/6/2022 NNT ko hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1371,0314977445,CÔNG TY TNHH THƯƠNG MẠI HOÁ CHẤT NGỌC DŨNG,,"CV 1396/ANDT, Bộ CA",,,,,,
1372,0316039878,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TIẾN VĂN,,"Thông báo số 7893/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1373,0316523091,CÔNG TY TNHH ĐIỆN MÁY HOÀNG NAM AN,,"Thông báo số 12145/TB-CCTKVQ7NB ngày 04/8/2022, NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1374,0315783315,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HÀNG HÓA LONG NGUYỄN,,"Thông báo số 7894/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1375,0315901618,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRUYỀN THÔNG NGÔI SAO XANH,,"Thông báo số 7889/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1376,0314418013,SẢN XUẤT MAY MẶC HỒNG THỦY(ĐỔI TÊN NHẬP KHẨU TRANG THIẾT BỊ Y TẾ VẠN TÂM AN 2/12/2021),,"CV 1396/ANDT, Bộ CA",,,,,,
1377,0315106031,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ TOÀN DIỆN,,"Tìm kiếm trụ sở kinh doanh mới, tb bỏ địa chỉ kinh doanh số 160/TB-CCT ngày 26/05/2022,1396/ANDT,Bộ CA",,,,,,
1378,0313991983,CÔNG TY TNHH CLEVER FOOD,,"Thông báo số 7792/TB-CCTKVQ7NB Ngày 09/6/2022 NNT ko hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1379,0305009039,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ LA PHAN,,"GDGT 05.02.2021 TB 2809 08/02/2021, CV 1396/ANDT, Bộ CA",,,,,,
1380,0316535509,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ THANH THIÊN,,"CV 1396/ANDT, Bộ CA",,,,,,
1381,0314671048,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VINABUILD,,"CV 1396/ANDT, Bộ CA",,,,,,
1382,0314249189,CÔNG TY TNHH THƯƠNG MẠI THIẾT BỊ ĐIỆN KIM NGỌC,,"CV 1396/ANDT, Bộ CA",,,,,,
1383,0316539510,"CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI VẬN CHUYỂN HOA AN ( ĐỔI TÊN ""CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬT LIỆU XÂY DỰNG ĐỨC HÙNG"" NGÀY 19/08/2020)",,"CV 1396/ANDT, Bộ CA",,,,,,
1384,0313686404,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ XÂY DỰNG GIA KHANG,,"Giao dịch giải thể ngày 08/03/2021,CV 1396/ANDT, Bộ CA",,,,,,
1385,0314730688,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TUẤN TÚ SG,,"Tb không chấp nhận tạm ngưng số 18666 ngày 18/7/2022, TB bỏ trốn 3763 ngày 11/5/2022,1396/ANDT,Bộ CA",,,,,,
1386,0315994901,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRUYỀN THÔNG QUẢNG CÁO VENUS,,"Thông báo số 7888/TB-CCTKVQ7NB ngày 09/06/2022 NNT không hoạt động tại địa chỉ đăng ký,1396/ANDT,Bộ CA",,,,,,
1387,0315103714,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VN,,"CV 1396/ANDT, Bộ CA",,,,,,
1388,0314055507,CÔNG TY TNHH AN QUỐC NGUYÊN,,"TB không chấp nhận tạm ngưng số 18668 ngày 18/7/2022, TB bỏ trốn số 824 ngày 05/6/2022,1396/ANDT,Bộ CA",,,,,,
1389,0308802422,CÔNG TY TNHH DỊCH VỤ VẬN TẢI VÀ THƯƠNG MẠI NGỌC PHƯƠNG,,"CV 1396/ANDT, Bộ CA",,,,,,
1390,0315800578,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI TẤN HOÀI BẢO,,"Thông báo số 20399/TB-CCTKVQ12HM ngày 15.11.2021 v/v NNT không hoạt động ( Ngày khóa 15.11.2021),1396/ANDT,Bộ CA",,,,,,
1391,0313173392,CÔNG TY TNHH TM XNK HIPRO,,"CV 1396/ANDT, Bộ CA",,,,,,
1392,0309405876,CÔNG TY TNHH XÂY DỰNG BẤT ĐỘNG SẢN LÂM HƯNG THỊNH,,"CV 1396/ANDT, Bộ CA",,,,,,
1393,0313935403,"CÔNG TY TNHH LUYỆN CHỮ ĐẸP ÁNH VIỆT( ĐỔI TÊN ""CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN TM-DV THIÊN DUNG GIA PHÚC"" NGÀY 25/05/2018)",,"TB bỏ ĐCKD số 7228/TB-CCT ngày 30/9/2020,1396/ANDT,Bộ CA",,,,,,
1394,0316408349,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ẨM THỰC THANH QUANG,,"CV 1396/ANDT, Bộ CA",,,,,,
1395,0311987614,"CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ QUỐC TẾ THỊNH GIA PHÁT ( ĐỔI TÊN ""CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN THƯƠNG MẠI DỊCH VỤ PHÁT ĐẠT KHANG"" 01/12/2021)",,"CV 1396/ANDT, Bộ CA",,,,,,
1396,0315882309,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU ANH TUẤN,,"TB bỏ ĐCKD số 7490/TB-CCTKVQ12HM; TB không chấp nhận tạm ngừng kinh doanh số 14679/TB-CCTKVQ12HM ngày 08/06/2022,1396/ANDT,Bộ CA",,,,,,
1397,0312426805,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN THƯƠNG MẠI TNVN,,"NNT không HĐ tại DCDK theo TB 14673/TB-CCTQ10 25/12/21, CV 1396/ANDT, Bộ CA",,,,,,
1398,0315636021,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ VANSAI,,"CV 1396/ANDT, Bộ CA",,,,,,
1399,0311259710,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG TRANG TRÍ NỘI THẤT ĐÌNH THOẠI,,"Thông báo số 7794/TB-CCTKVQ7NB Ngày 09/6/2022 NNT ko hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1400,0311270175,CÔNG TY CỔ PHẦN TƯ VẤN THUẾ ÁNH DƯƠNG,,"CV 1396/ANDT, Bộ CA",,,,,,
1401,0315667830,CÔNG TY TNHH ĐIỆN MÁY QUANG TÚ,,"Thông báo số 12147/TB-CCTKVQ7NB ngày 04/8/2022 NNT không hoạt động tại trụ sở,1396/ANDT,Bộ CA",,,,,,
1402,0314730180,CÔNG TY TNHH TRAPNOS,,"CV 1396/ANDT, Bộ CA",,,,,,
1403,0311887320,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU KIM NGỌC MINH,,"CV 1396/ANDT, Bộ CA",,,,,,
1404,0314263264,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CƠ KHÍ MÁY MÓC CÔNG MINH,,"Thông báo số 7793/TB-CCTKVQ7NB Ngày 09/6/2022 NNT ko hoạt động tại địa chỉ trụ sở,1396/ANDT,Bộ CA",,,,,,
1405,0313684005,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TẦM NHÌN VIỆT,,"Theo TB 978/TB-CCT ngày 24/07/2019 CCT Bình Tân (bỏ trốn ngày 23/07/2019),1396/ANDT,Bộ CA",,,,,,
1406,0316743636,CÔNG TY TNHH MAY MẶC Y NÙY,,"CV 1396/ANDT, Bộ CA",,,,,,
1407,0312579304,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG LÂM TUYỀN,,"CV 1396/ANDT, Bộ CA",,,,,,
1408,0314551287,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU AAD (tên trên TMS) (SAI TÊN),,"Thông báo số 1918/TB-CCT ngày 04/04/2019,1396/ANDT,Bộ CA",,,,,,
1409,0314506333,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DỊCH VỤ TRANG TRÍ NỘI THẤT SỐ,,"Chờ giải thể 2077-09/04/18, CV1396/ANDT, Bộ CA",,,,,,
1410,0315904640,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ẨM THỰC BIỂN RẠNG,,"Thông báo số 6782/TB-CCT ngày 17/10/2019 V/v NNT không còn hoạt động tại địa chỉ đã đăng ký,1396/ANDT,Bộ CA",,,,,,
1411,0313395525,DOANH NGHIỆP TƯ NHÂN THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ TẤN ĐẠT,,"Giao dich giai the ngay 06.01.22, CV 1396/ANDT, Bộ CA",,,,,,
1412,0315324015,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI HÀNG HOÁ PIER PHÚ QUỐC,,"NTT không hoạt động tại địa chỉ đã đăng ký số 2307/TB-CCT ngày 18/03/2020, CV1396/ANDT, Bộ CA",,,,,,
1413,0315389485,CÔNG TY TNHH VẬN TẢI VÀ DỊCH VỤ QUỐC TẾ Á CHÂU,,"CV 1396/ANDT, Bộ CA",,,,,,
1414,0309732601,CÔNG TY TNHH SẮT THÉP TRUNG ĐÔNG,,"CV 1396/ANDT, Bộ CA",,,,,,
1415,0316073910,Công ty TNHH May Mặc Sỉ Lẻ Phương Đông,,"CV 1396/ANDT, Bộ CA",,,,,,
1416,0315772225,CÔNG TY TNHH PHÁT TRIỂN GIÁO DỤC THIÊN PHONG,,"CV 57876/TB-CCT-KKKTTTH ngày 05/12/2019, 1396/ANDT, Bộ CA",,,,,,
1417,0314776837,CÔNG TY TNHH GARAGE THUẬN HÒA,,"CV 1396/ANDT, Bộ CA",,,,,,
1418,0315919478,"CÔNG TY TNHH MỘT THÀNH VIÊN KINH DOANH DỊCH VỤ PHÚC AN KHANG (Đổi tên ""CÔNG TY TNHH ME MINH QUỐC"" ngày 08/02/2021)",,"CV 1396/ANDT, Bộ CA",,,,,,
1419,0314997515,"CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRANG TRÍ NỘI THẤT HƯNG VÂN PHÁT( ĐỔI TÊN ""CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BAZATA"" NGÀY 28/07/2020)",,"CV 1396/ANDT, Bộ CA",,,,,,
1420,0312980019,"CÔNG TY TNHH TMDV XÂY DỰNG BẤT ĐỘNG SẢN HOÀNG PHI (ĐỔI TÊN ""CÔNG TY TNHH PHÒNG CHÁY CHỮA CHÁY VĨNH THỊNH NGÀY 22/07/2020)",,"CV 1396/ANDT, Bộ CA",,,,,,
1421,0315137255,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ XÂY DỰNG FOOD KOREA ELENSILIA,,"CV 1396/ANDT, Bộ CA",,,,,,
1422,0315938209,CÔNG TY TNHH VIET RUBBER,,"Khóa theo đường truyền giải thể từ cơ quan đăng ký kinh doanh về cơ quan Thuế ngày 05/01/2022.,1396/ANDT,Bộ CA",,,,,,
1423,0315946506,CÔNG TY TNHH CÔNG NGHỆ MONKEY KING,,"CV 1396/ANDT, Bộ CA",,,,,,
1424,0316219599,CÔNG TY TNHH PHÁT TRIỂN PHẦN MỀM DATAROBOT,,"CV 1396/ANDT, Bộ CA",,,,,,
1425,0313906875,CÔNG TY TNHH PHÒNG CHÁY CHỮA CHÁY DŨNG KG,,"TB 2599/TB-CCTKVQ7NB ngày 31/03/2021 NNT không hoạt động tại địa chỉ,1396/ANDT,Bộ CA",,,,,,
1426,0312453492,"CÔNG TY TNHH TMDV TRUYỀN THÔNG QUẢNG CÁO ĐÔNG THẠO (ĐỔI TÊN ""CÔNG TY TNHH THƯƠNG MẠI HÓA CHẤT DŨNG LONG"" NGÀY 24/08/2020)",,"TB BO DCKD số 14505/BKD-CCTQ3 ngày 21/09/2022,1396/ANDT,Bộ CA",,,,,,
1427,0315970227,CÔNG TY CỔ PHẦN THẠCH CAO DECOHOME,,"CV 1396/ANDT, Bộ CA",,,,,,
1428,0312966310,Công Ty TNHH Giải Pháp Công Nghệ Sông Trà,,"TBBT số 8384/TB-CCT ngày 20/07/2018,1396/ANDT,Bộ CA",,,,,,
1429,0315651862,CÔNG TY TNHH CƠ KHÍ XÂY DỰNG HDCONS,,"TB v/v NNT không hoạt động tại địa chỉ đã đăng ký số 5426/TB-CCTKVQ12HM ngày 25/03/2021,1396/ANDT,Bộ CA",,,,,,
1430,0316142988,CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH BẤT ĐỘNG SẢN HILAND,,"Giải thể theo dữ liệu TMS ngày 12/01/2022, CV 1396/ANDT, Bộ CA",,,,,,
1431,0316977017,CÔNG TY TNHH MTV DUY NGUYỄN,,"CV 1396/ANDT, Bộ CA",,,,,,
1432,0315529580,CÔNG TY TNHH HƯNG THỊNH XANH,,"CV 1396/ANDT, Bộ CA",,,,,,
1433,0315484403,CÔNG TY TNHH DỊCH VỤ ĐẦU TƯ VNREAL,,"Thông báo về việc người nộp thuế không hoạt động tại địa chỉ đã đăng ký số 9467/TB-CCTBTH ngày 30/6/2022,1396/ANDT,Bộ CA",,,,,,
1434,0314366936,Lê Tuấn Anh,,"Khóa MST theo TB 256/TB-CCT ngày 14/01/2019 V/v NNT không hoạt động tại địa chỉ đã đăng ký,1396/ANDT, Bộ CA",,,,,,
1435,0315333387-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI GỖ VÀ TRANG TRÍ NỘI THẤT ÁNH DƯƠNG,,"CV 1396/ANDT, Bộ CA",,,,,,
1436,0315903372-001,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU CÁP XÍCH PHÚC THIÊN KIM,,"CV 1396/ANDT, Bộ CA",,,,,,
1437,1402044337,CÔNG TY TNHH MTV LƯƠNG DUY PHÚC,,"CV 489/CSKT, CA Đồng Tháp",,,,,,
1438,1402121077,CTY TNHH CHÂU NGỌC BĂNG,,"CV 489/CSKT, CA Đồng Tháp",,,,,,
1439,1402143602,CTY TNHH MTV NGỌC BĂNG,,"Bán HĐ hợp thức hóa cát, CV 489/CSKT, CA Đồng Tháp",,,,,,
1440,1402110156,CÔNG TY TNHH AN PHÚ ANA,,"CV 489/CSKT, CA Đồng Tháp",,,,,,
1441,0302694717,CÔNG TY TRÁCH NHIỆM HỮU HẠN CƠ KHÍ QUANG TRUNG,,"CV 4020/CSKT-P5, Bộ CA",,,,,,
1442,0310858493,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA ÂN THIÊN,,"CV 4020/CSKT-P5, Bộ CA",,,,,,
